tags,long,lat,dTime,source_file
254025_0,-122.4701149,36.69103442,2024-05-23T05:00:00Z,254025-RawArgos_pred_6h.csv
254025_0,-122.4987913,36.74720582,2024-05-23T11:00:00Z,254025-RawArgos_pred_6h.csv
254025_0,-122.537447,36.78070673,2024-05-23T17:00:00Z,254025-RawArgos_pred_6h.csv
254025_0,-122.4077319,36.78797102,2024-05-23T23:00:00Z,254025-RawArgos_pred_6h.csv
254025_0,-122.4523779,36.75111625,2024-05-24T05:00:00Z,254025-RawArgos_pred_6h.csv
254025_0,-122.4746181,36.8247512,2024-05-24T11:00:00Z,254025-RawArgos_pred_6h.csv
254025_0,-122.393489,36.85450186,2024-05-24T17:00:00Z,254025-RawArgos_pred_6h.csv
254025_0,-122.336154,36.87060861,2024-05-24T23:00:00Z,254025-RawArgos_pred_6h.csv
254025_0,-122.4421221,36.89974557,2024-05-25T05:00:00Z,254025-RawArgos_pred_6h.csv
254025_0,-122.486707,36.920464870000004,2024-05-25T11:00:00Z,254025-RawArgos_pred_6h.csv
254025_0,-122.5636322,36.90373875,2024-05-25T17:00:00Z,254025-RawArgos_pred_6h.csv
254025_0,-122.61225,36.89280445,2024-05-25T23:00:00Z,254025-RawArgos_pred_6h.csv
254025_0,-122.7515588,36.9595893,2024-05-26T05:00:00Z,254025-RawArgos_pred_6h.csv
254025_0,-122.7584448,37.00783993,2024-05-26T11:00:00Z,254025-RawArgos_pred_6h.csv
254025_0,-122.7973852,36.97310077,2024-05-26T17:00:00Z,254025-RawArgos_pred_6h.csv
254025_0,-122.7842301,37.10469806,2024-05-26T23:00:00Z,254025-RawArgos_pred_6h.csv
254025_0,-122.9201583,37.12687005,2024-05-27T05:00:00Z,254025-RawArgos_pred_6h.csv
254025_0,-122.8851092,36.99205129,2024-05-27T11:00:00Z,254025-RawArgos_pred_6h.csv
254025_0,-122.6627235,36.8799008,2024-05-27T17:00:00Z,254025-RawArgos_pred_6h.csv
254025_0,-122.4533046,36.90001052,2024-05-27T23:00:00Z,254025-RawArgos_pred_6h.csv
254025_0,-122.4103382,36.87275533,2024-05-28T05:00:00Z,254025-RawArgos_pred_6h.csv
254025_0,-122.3978371,36.89962218,2024-05-28T11:00:00Z,254025-RawArgos_pred_6h.csv
254025_0,-122.3428258,36.93297867,2024-05-28T17:00:00Z,254025-RawArgos_pred_6h.csv
254025_0,-122.4760783,36.90460572,2024-05-28T23:00:00Z,254025-RawArgos_pred_6h.csv
254025_0,-122.618908,36.96954125,2024-05-29T05:00:00Z,254025-RawArgos_pred_6h.csv
254025_0,-122.6704899,37.04148697,2024-05-29T11:00:00Z,254025-RawArgos_pred_6h.csv
254025_0,-122.6574198,37.0310171,2024-05-29T17:00:00Z,254025-RawArgos_pred_6h.csv
254025_0,-122.6342265,37.05314049,2024-05-29T23:00:00Z,254025-RawArgos_pred_6h.csv
254025_0,-122.6749108,37.06913958,2024-05-30T05:00:00Z,254025-RawArgos_pred_6h.csv
254025_0,-122.6691841,37.05172116,2024-05-30T11:00:00Z,254025-RawArgos_pred_6h.csv
254025_0,-122.5870739,37.01199848,2024-05-30T17:00:00Z,254025-RawArgos_pred_6h.csv
254025_0,-122.5831809,36.95238986,2024-05-30T23:00:00Z,254025-RawArgos_pred_6h.csv
254025_0,-122.6372929,36.92401626,2024-05-31T05:00:00Z,254025-RawArgos_pred_6h.csv
254025_0,-122.5637025,36.82965368,2024-05-31T11:00:00Z,254025-RawArgos_pred_6h.csv
254025_0,-122.5164625,36.85881941,2024-05-31T17:00:00Z,254025-RawArgos_pred_6h.csv
254025_0,-122.4790246,36.82155893,2024-05-31T23:00:00Z,254025-RawArgos_pred_6h.csv
254025_0,-122.653632,36.84650556,2024-06-01T05:00:00Z,254025-RawArgos_pred_6h.csv
254025_0,-122.6854417,36.83576762,2024-06-01T11:00:00Z,254025-RawArgos_pred_6h.csv
254025_0,-122.6565216,36.94591317,2024-06-01T17:00:00Z,254025-RawArgos_pred_6h.csv
254025_0,-122.7118621,37.01593599,2024-06-01T23:00:00Z,254025-RawArgos_pred_6h.csv
254025_0,-122.7649271,37.05803934,2024-06-02T05:00:00Z,254025-RawArgos_pred_6h.csv
254025_0,-122.7892415,37.05799454,2024-06-02T11:00:00Z,254025-RawArgos_pred_6h.csv
254025_0,-122.7623687,37.0110586,2024-06-02T17:00:00Z,254025-RawArgos_pred_6h.csv
254025_0,-122.8209921,37.07425124,2024-06-02T23:00:00Z,254025-RawArgos_pred_6h.csv
254025_0,-122.8958544,37.08885178,2024-06-03T05:00:00Z,254025-RawArgos_pred_6h.csv
254025_0,-122.7076774,37.02548166,2024-06-03T11:00:00Z,254025-RawArgos_pred_6h.csv
254025_0,-122.7066668,37.04529805,2024-06-03T17:00:00Z,254025-RawArgos_pred_6h.csv
254025_0,-122.7151958,36.92447707,2024-06-03T23:00:00Z,254025-RawArgos_pred_6h.csv
254025_0,-122.6800546,36.87209056,2024-06-04T05:00:00Z,254025-RawArgos_pred_6h.csv
254025_0,-122.6149414,36.74343591,2024-06-04T11:00:00Z,254025-RawArgos_pred_6h.csv
254025_0,-122.6923552,36.72365214,2024-06-04T17:00:00Z,254025-RawArgos_pred_6h.csv
254025_0,-122.542304,36.66356019,2024-06-04T23:00:00Z,254025-RawArgos_pred_6h.csv
254025_0,-122.4928121,36.76803067,2024-06-05T05:00:00Z,254025-RawArgos_pred_6h.csv
254025_0,-122.3588661,36.85516689,2024-06-05T11:00:00Z,254025-RawArgos_pred_6h.csv
254025_0,-122.359167,36.91272979,2024-06-05T17:00:00Z,254025-RawArgos_pred_6h.csv
254025_0,-122.3208026,36.92952143,2024-06-05T23:00:00Z,254025-RawArgos_pred_6h.csv
254025_0,-122.3156567,36.90147735,2024-06-06T05:00:00Z,254025-RawArgos_pred_6h.csv
254025_0,-122.3556516,36.8709091,2024-06-06T11:00:00Z,254025-RawArgos_pred_6h.csv
254025_0,-122.2921185,36.91670753,2024-06-06T17:00:00Z,254025-RawArgos_pred_6h.csv
254025_0,-122.2653506,36.92791639,2024-06-06T23:00:00Z,254025-RawArgos_pred_6h.csv
254025_0,-122.2748943,36.90185199,2024-06-07T05:00:00Z,254025-RawArgos_pred_6h.csv
254025_0,-122.3018662,36.91539541,2024-06-07T11:00:00Z,254025-RawArgos_pred_6h.csv
254025_0,-122.2576345,36.79657658,2024-06-07T17:00:00Z,254025-RawArgos_pred_6h.csv
254025_0,-122.2797091,36.7187896,2024-06-07T23:00:00Z,254025-RawArgos_pred_6h.csv
254025_0,-122.3457644,36.86728005,2024-06-08T05:00:00Z,254025-RawArgos_pred_6h.csv
254025_0,-122.2685339,36.88434978,2024-06-08T11:00:00Z,254025-RawArgos_pred_6h.csv
254025_0,-122.1777447,36.84128551,2024-06-08T17:00:00Z,254025-RawArgos_pred_6h.csv
254025_0,-122.1850018,36.84212161,2024-06-08T23:00:00Z,254025-RawArgos_pred_6h.csv
254025_0,-122.2538142,36.8335439,2024-06-09T05:00:00Z,254025-RawArgos_pred_6h.csv
254025_0,-122.1908866,36.79970222,2024-06-09T11:00:00Z,254025-RawArgos_pred_6h.csv
254025_0,-122.224771,36.89742503,2024-06-09T17:00:00Z,254025-RawArgos_pred_6h.csv
254025_0,-122.3488362,36.94967045,2024-06-09T23:00:00Z,254025-RawArgos_pred_6h.csv
254025_0,-122.4704167,36.89053138,2024-06-10T05:00:00Z,254025-RawArgos_pred_6h.csv
254025_0,-122.4886969,36.90784183,2024-06-10T11:00:00Z,254025-RawArgos_pred_6h.csv
254025_0,-122.4510599,36.99563632,2024-06-10T17:00:00Z,254025-RawArgos_pred_6h.csv
254025_0,-122.4821039,37.01513229,2024-06-10T23:00:00Z,254025-RawArgos_pred_6h.csv
254025_0,-122.5329815,37.13709943,2024-06-11T05:00:00Z,254025-RawArgos_pred_6h.csv
254025_0,-122.5413887,37.17635731,2024-06-11T11:00:00Z,254025-RawArgos_pred_6h.csv
254025_0,-122.5534718,37.19284338,2024-06-11T17:00:00Z,254025-RawArgos_pred_6h.csv
254025_0,-122.6149015,37.17727744,2024-06-11T23:00:00Z,254025-RawArgos_pred_6h.csv
254025_0,-122.6010796,37.12975,2024-06-12T05:00:00Z,254025-RawArgos_pred_6h.csv
254025_0,-122.5558779,37.06764854,2024-06-12T11:00:00Z,254025-RawArgos_pred_6h.csv
254025_0,-122.490156,37.12295154,2024-06-12T17:00:00Z,254025-RawArgos_pred_6h.csv
254025_0,-122.548169,37.20775954,2024-06-12T23:00:00Z,254025-RawArgos_pred_6h.csv
254025_0,-122.5835501,37.28324178,2024-06-13T05:00:00Z,254025-RawArgos_pred_6h.csv
254025_0,-122.6007254,37.29816953,2024-06-13T11:00:00Z,254025-RawArgos_pred_6h.csv
254025_0,-122.7194253,37.31065706,2024-06-13T17:00:00Z,254025-RawArgos_pred_6h.csv
254025_0,-122.9350494,37.28824218,2024-06-13T23:00:00Z,254025-RawArgos_pred_6h.csv
254025_0,-123.1197047,37.42626179,2024-06-14T05:00:00Z,254025-RawArgos_pred_6h.csv
254025_0,-122.7808273,37.37126623,2024-06-14T11:00:00Z,254025-RawArgos_pred_6h.csv
254025_0,-122.5800599,37.22034866,2024-06-14T17:00:00Z,254025-RawArgos_pred_6h.csv
254025_0,-122.7069607,37.22110125,2024-06-14T23:00:00Z,254025-RawArgos_pred_6h.csv
254025_0,-122.5394076,37.16022469,2024-06-15T05:00:00Z,254025-RawArgos_pred_6h.csv
254025_0,-122.4347194,37.06674626,2024-06-15T11:00:00Z,254025-RawArgos_pred_6h.csv
254025_0,-122.4901484,37.02678062,2024-06-15T17:00:00Z,254025-RawArgos_pred_6h.csv
254025_0,-122.6341117,36.97637676,2024-06-15T23:00:00Z,254025-RawArgos_pred_6h.csv
254025_0,-122.4787641,37.00596109,2024-06-16T05:00:00Z,254025-RawArgos_pred_6h.csv
254025_0,-122.4662714,37.01177995,2024-06-16T11:00:00Z,254025-RawArgos_pred_6h.csv
254025_0,-122.3947289,37.04835774,2024-06-16T17:00:00Z,254025-RawArgos_pred_6h.csv
254025_0,-122.4469837,36.97585296,2024-06-16T23:00:00Z,254025-RawArgos_pred_6h.csv
254025_0,-122.3918127,37.01507055,2024-06-17T05:00:00Z,254025-RawArgos_pred_6h.csv
254025_0,-122.3739975,36.99241963,2024-06-17T11:00:00Z,254025-RawArgos_pred_6h.csv
254025_0,-122.3376384,37.04308619,2024-06-17T17:00:00Z,254025-RawArgos_pred_6h.csv
254025_0,-122.358888,36.98389249,2024-06-17T23:00:00Z,254025-RawArgos_pred_6h.csv
254025_0,-122.36857,37.02863566,2024-06-18T05:00:00Z,254025-RawArgos_pred_6h.csv
254025_0,-122.3491043,37.02506828,2024-06-18T11:00:00Z,254025-RawArgos_pred_6h.csv
254025_0,-122.511421,37.05358027,2024-06-18T17:00:00Z,254025-RawArgos_pred_6h.csv
254025_0,-122.6255186,36.94962753,2024-06-18T23:00:00Z,254025-RawArgos_pred_6h.csv
254025_0,-122.8147816,36.95194379,2024-06-19T05:00:00Z,254025-RawArgos_pred_6h.csv
254025_0,-122.8840335,37.03006539,2024-06-19T11:00:00Z,254025-RawArgos_pred_6h.csv
254025_0,-122.7333275,37.05834193,2024-06-19T17:00:00Z,254025-RawArgos_pred_6h.csv
254026_0,-122.0637,36.9493,2024-04-08T17:00:00Z,254026-RawArgos_pred_6h.csv
254026_0,-122.056484,36.93970164,2024-04-08T23:00:00Z,254026-RawArgos_pred_6h.csv
254026_0,-122.0415147,36.92034097,2024-04-09T05:00:00Z,254026-RawArgos_pred_6h.csv
254026_0,-122.0209301,36.89466889,2024-04-09T11:00:00Z,254026-RawArgos_pred_6h.csv
254026_0,-121.996134,36.86516047,2024-04-09T17:00:00Z,254026-RawArgos_pred_6h.csv
254026_0,-121.9685304,36.83429374,2024-04-09T23:00:00Z,254026-RawArgos_pred_6h.csv
254026_0,-121.9395231,36.80455054,2024-04-10T05:00:00Z,254026-RawArgos_pred_6h.csv
254026_0,-121.9105161,36.77841654,2024-04-10T11:00:00Z,254026-RawArgos_pred_6h.csv
254026_0,-121.8829132,36.75838046,2024-04-10T17:00:00Z,254026-RawArgos_pred_6h.csv
254026_0,-121.8581183,36.74693249,2024-04-10T23:00:00Z,254026-RawArgos_pred_6h.csv
254026_0,-121.8375353,36.74656189,2024-04-11T05:00:00Z,254026-RawArgos_pred_6h.csv
254026_0,-121.8225681,36.75975375,2024-04-11T11:00:00Z,254026-RawArgos_pred_6h.csv
254026_0,-121.8146207,36.788985,2024-04-11T17:00:00Z,254026-RawArgos_pred_6h.csv
254026_0,-121.8414107,36.79987466,2024-04-11T23:00:00Z,254026-RawArgos_pred_6h.csv
254026_0,-121.9201647,36.7945531,2024-04-12T05:00:00Z,254026-RawArgos_pred_6h.csv
254026_0,-121.9339149,36.79044465,2024-04-12T11:00:00Z,254026-RawArgos_pred_6h.csv
254026_0,-121.9423179,36.8055873,2024-04-12T17:00:00Z,254026-RawArgos_pred_6h.csv
254026_0,-121.8857548,36.76614552,2024-04-12T23:00:00Z,254026-RawArgos_pred_6h.csv
254026_0,-121.9302966,36.74945408,2024-04-13T05:00:00Z,254026-RawArgos_pred_6h.csv
254026_0,-121.8684883,36.74851143,2024-04-13T11:00:00Z,254026-RawArgos_pred_6h.csv
254026_0,-121.8738551,36.74350702,2024-04-13T17:00:00Z,254026-RawArgos_pred_6h.csv
254026_0,-121.9385219,36.7451442,2024-04-13T23:00:00Z,254026-RawArgos_pred_6h.csv
