DeployID,Ptt,Instr,Date,Type,Quality,Latitude,Longitude,Error radius,Error Semi-major axis,Error Semi-minor axis,Error Ellipse orientation,Offset,Offset orientation,GPE MSD,GPE U,Count,Comment
254027,254027,UT,12:19:52 13-May-2024,Argos,A,36.8698,-122.0059,2296,21900,240,106,,,,,,
254027,254027,UT,13:14:51 13-May-2024,Argos,B,36.8657,-122.0061,1280,2246,728,102,,,,,,
254027,254027,UT,14:00:01 13-May-2024,Argos,B,36.8646,-122.0110,1518,2142,1075,102,,,,,,
254027,254027,UT,14:15:54 13-May-2024,Argos,2,36.8850,-122.0354,409,801,208,112,,,,,,
254027,254027,UT,16:17:05 13-May-2024,Argos,B,36.8742,-122.0427,7756,10625,5661,87,,,,,,
254027,254027,UT,17:04:50 13-May-2024,Argos,A,36.8861,-121.9988,1274,9493,170,107,,,,,,
254027,254027,UT,18:02:10 13-May-2024,Argos,0,36.8732,-121.9880,3399,26421,437,107,,,,,,
254027,254027,UT,18:07:01 13-May-2024,Argos,1,36.8985,-122.0076,714,1156,440,15,,,,,,
254027,254027,UT,18:07:22 13-May-2024,Argos,B,36.8988,-122.0080,828,904,757,5,,,,,,
254027,254027,UT,18:30:05 13-May-2024,Argos,B,36.8988,-122.0081,3412,4174,2788,91,,,,,,
254027,254027,UT,21:09:47 13-May-2024,Argos,2,36.8382,-121.9575,318,605,166,128,,,,,,
254027,254027,UT,01:22:52 14-May-2024,Argos,B,36.8543,-121.9399,3139,25526,386,63,,,,,,
254027,254027,UT,02:10:03 14-May-2024,Argos,2,36.8745,-121.9258,262,874,78,97,,,,,,
254027,254027,UT,02:10:12 14-May-2024,Argos,2,36.8732,-121.9254,419,755,231,105,,,,,,
254027,254027,UT,02:14:04 14-May-2024,Argos,3,36.8724,-121.9209,166,365,74,89,,,,,,
254027,254027,UT,04:14:08 14-May-2024,Argos,3,36.8556,-121.9437,241,425,136,89,,,,,,
254027,254027,UT,04:22:19 14-May-2024,Argos,B,36.8555,-121.9427,706,901,552,90,,,,,,
254027,254027,UT,05:17:20 14-May-2024,Argos,2,36.8672,-121.9368,471,3020,73,79,,,,,,
254027,254027,UT,05:58:11 14-May-2024,Argos,0,36.8667,-121.9526,1950,9060,419,72,,,,,,
254027,254027,UT,06:02:44 14-May-2024,Argos,B,36.8716,-121.9417,2759,6145,1238,72,,,,,,
254027,254027,UT,07:13:51 14-May-2024,Argos,2,36.8619,-121.9645,257,942,69,101,,,,,,
254027,254027,UT,08:22:11 14-May-2024,Argos,2,36.8612,-121.9328,315,504,197,50,,,,,,
254027,254027,UT,11:57:48 14-May-2024,Argos,B,36.8670,-121.9096,5932,8428,4174,95,,,,,,
254027,254027,UT,13:19:46 14-May-2024,Argos,0,36.8565,-121.9432,16383,234236,1145,92,,,,,,
254027,254027,UT,14:21:45 14-May-2024,Argos,1,36.8642,-121.9514,693,890,538,179,,,,,,
254027,254027,UT,14:21:52 14-May-2024,Argos,B,36.8647,-121.9504,626,711,549,166,,,,,,
254027,254027,UT,15:02:31 14-May-2024,Argos,1,36.8452,-121.9364,1257,2981,529,153,,,,,,
254027,254027,UT,15:12:01 14-May-2024,Argos,0,36.8609,-121.9366,1629,4543,583,46,,,,,,
254027,254027,UT,16:01:10 14-May-2024,Argos,3,36.8603,-121.9073,230,2620,20,104,,,,,,
254027,254027,UT,18:00:46 14-May-2024,Argos,A,36.8119,-121.9029,1701,11244,257,99,,,,,,
254027,254027,UT,18:21:05 14-May-2024,Argos,1,36.8054,-121.9042,715,1467,348,107,,,,,,
254027,254027,UT,18:25:33 14-May-2024,Argos,3,36.8100,-121.9047,212,853,52,111,,,,,,
254027,254027,UT,19:13:41 14-May-2024,Argos,2,36.8033,-121.8897,366,585,228,68,,,,,,
254027,254027,UT,20:30:17 14-May-2024,Argos,0,36.7896,-121.8247,1590,20840,121,94,,,,,,
254027,254027,UT,21:18:02 14-May-2024,Argos,B,36.7804,-121.8080,3799,5716,2525,95,,,,,,
254027,254027,UT,23:06:31 14-May-2024,Argos,B,36.7622,-121.7642,5335,8381,3395,89,,,,,,
254027,254027,UT,02:22:42 15-May-2024,Argos,A,36.7648,-121.8219,1424,12479,162,131,,,,,,
254027,254027,UT,03:12:49 15-May-2024,Argos,2,36.8125,-121.8134,279,377,206,110,,,,,,
254027,254027,UT,03:21:22 15-May-2024,Argos,B,36.7682,-121.8197,1732,3786,792,123,,,,,,
254027,254027,UT,03:21:23 15-May-2024,Argos,3,36.8200,-121.8188,203,523,78,90,,,,,,
254027,254027,UT,03:21:49 15-May-2024,Argos,B,36.8194,-121.8219,486,1858,127,80,,,,,,
254027,254027,UT,04:09:21 15-May-2024,Argos,A,36.8307,-121.8370,1055,4678,238,160,,,,,,
254027,254027,UT,04:57:52 15-May-2024,Argos,0,36.8223,-121.8403,1530,30933,75,78,,,,,,
254027,254027,UT,05:01:02 15-May-2024,Argos,B,36.8213,-121.8479,922,2725,312,76,,,,,,
254027,254027,UT,06:00:26 15-May-2024,Argos,A,36.8207,-121.8829,1695,7076,406,104,,,,,,
254027,254027,UT,07:04:25 15-May-2024,Argos,3,36.8484,-121.8727,132,479,36,62,,,,,,
254027,254027,UT,12:23:56 15-May-2024,Argos,B,36.8409,-121.8782,2120,3663,1226,79,,,,,,
254027,254027,UT,12:59:13 15-May-2024,Argos,B,36.8314,-121.8746,2264,4100,1249,87,,,,,,
254027,254027,UT,12:59:13 15-May-2024,Argos,B,36.8311,-121.8764,2192,4343,1106,91,,,,,,
254027,254027,UT,13:58:41 15-May-2024,Argos,A,36.7978,-121.8123,771,17408,34,85,,,,,,
254027,254027,UT,14:29:02 15-May-2024,Argos,A,36.8061,-121.8089,627,8815,44,93,,,,,,
254027,254027,UT,14:33:08 15-May-2024,Argos,B,36.8057,-121.8089,853,3168,229,93,,,,,,
254027,254027,UT,15:35:08 15-May-2024,Argos,B,36.7945,-121.8687,736,5564,97,164,,,,,,
254027,254027,UT,18:02:40 15-May-2024,Argos,1,36.7563,-121.8259,1315,8229,210,117,,,,,,
254027,254027,UT,18:06:18 15-May-2024,Argos,2,36.7593,-121.8413,310,932,103,104,,,,,,
254027,254027,UT,19:22:04 15-May-2024,Argos,2,36.7687,-121.8686,361,950,137,95,,,,,,
254027,254027,UT,21:04:55 15-May-2024,Argos,0,36.7900,-121.8105,4745,12360,1821,35,,,,,,
254027,254027,UT,21:22:32 15-May-2024,Argos,B,36.7858,-121.8133,2381,12505,453,111,,,,,,
254027,254027,UT,00:05:20 16-May-2024,Argos,1,36.7822,-121.8373,1133,5320,241,109,,,,,,
254027,254027,UT,01:03:44 16-May-2024,Argos,B,36.7811,-121.8344,2755,3663,2072,89,,,,,,
254027,254027,UT,02:58:38 16-May-2024,Argos,B,36.7627,-121.8172,2730,6691,1114,66,,,,,,
254027,254027,UT,02:59:44 16-May-2024,Argos,3,36.7635,-121.8350,103,120,87,78,,,,,,
254027,254027,UT,03:58:18 16-May-2024,Argos,B,36.7610,-121.8317,1582,1956,1279,89,,,,,,
254027,254027,UT,05:09:41 16-May-2024,Argos,B,36.7543,-121.8407,1156,5249,254,178,,,,,,
254027,254027,UT,05:21:34 16-May-2024,Argos,B,36.7573,-121.8411,381,4963,29,83,,,,,,
254027,254027,UT,06:17:12 16-May-2024,Argos,1,36.7634,-121.8650,1154,4243,313,58,,,,,,
254027,254027,UT,08:30:24 16-May-2024,Argos,3,36.7826,-121.8100,197,551,70,64,,,,,,
254027,254027,UT,12:11:36 16-May-2024,Argos,B,36.7827,-121.8291,1536,8033,293,121,,,,,,
254027,254027,UT,12:17:43 16-May-2024,Argos,2,36.7831,-121.8090,333,476,233,25,,,,,,
254027,254027,UT,13:58:28 16-May-2024,Argos,B,36.7860,-121.8064,2297,2856,1846,89,,,,,,
254027,254027,UT,14:05:44 16-May-2024,Argos,1,36.7946,-121.8162,891,2391,331,80,,,,,,
254027,254027,UT,15:06:46 16-May-2024,Argos,A,36.7741,-121.8171,1896,5264,682,6,,,,,,
254027,254027,UT,15:07:46 16-May-2024,Argos,2,36.7718,-121.8259,261,285,238,167,,,,,,
254027,254027,UT,16:12:06 16-May-2024,Argos,A,36.7946,-121.8145,2759,7216,1055,103,,,,,,
254027,254027,UT,17:35:26 16-May-2024,Argos,B,36.7962,-121.8143,4854,7314,3221,102,,,,,,
254027,254027,UT,18:01:28 16-May-2024,Argos,B,36.7851,-121.8167,2854,5497,1481,93,,,,,,
254027,254027,UT,18:33:55 16-May-2024,Argos,1,36.8024,-121.8886,905,3285,249,177,,,,,,
254027,254027,UT,18:59:45 16-May-2024,Argos,B,36.8014,-121.8886,1295,1664,1006,76,,,,,,
254027,254027,UT,19:09:03 16-May-2024,Argos,0,36.8384,-121.9820,3239,87786,119,101,,,,,,
254027,254027,UT,19:26:21 16-May-2024,Argos,B,36.8353,-121.9675,4864,8992,2630,98,,,,,,
