DeployID,Ptt,Instr,Date,Type,Quality,Latitude,Longitude,Error radius,Error Semi-major axis,Error Semi-minor axis,Error Ellipse orientation,Offset,Offset orientation,GPE MSD,GPE U,Count,Comment,lon,lat
254030,254030,UT,02:44:10 13-Apr-2024,Argos,B,37.428,-122.4832,6699,12960,3462,82,NA,NA,NA,NA,NA,NA,-122.4832,37.428
254030,254030,UT,03:39:38 13-Apr-2024,Argos,A,37.4228,-122.51,3368,32550,348,61,NA,NA,NA,NA,NA,NA,-122.51,37.4228
254030,254030,UT,04:20:41 13-Apr-2024,Argos,B,37.4066,-122.5313,1507,9862,230,103,NA,NA,NA,NA,NA,NA,-122.5313,37.4066
254030,254030,UT,05:07:06 13-Apr-2024,Argos,B,37.3991,-122.5365,862,14698,50,79,NA,NA,NA,NA,NA,NA,-122.5365,37.3991
254030,254030,UT,05:16:53 13-Apr-2024,Argos,B,37.3995,-122.5345,1017,3963,260,79,NA,NA,NA,NA,NA,NA,-122.5345,37.3995
254030,254030,UT,13:04:11 13-Apr-2024,Argos,B,37.403,-122.6365,2471,6930,880,68,NA,NA,NA,NA,NA,NA,-122.6365,37.403
254030,254030,UT,13:16:23 13-Apr-2024,Argos,B,37.45,-122.5355,1519,69070,33,94,NA,NA,NA,NA,NA,NA,-122.5355,37.45
254030,254030,UT,14:01:00 13-Apr-2024,Argos,B,37.4396,-122.5466,1633,136815,19,94,NA,NA,NA,NA,NA,NA,-122.5466,37.4396
254030,254030,UT,16:04:50 13-Apr-2024,Argos,B,37.4284,-122.5707,2200,4950,977,93,NA,NA,NA,NA,NA,NA,-122.5707,37.4284
254030,254030,UT,18:01:19 13-Apr-2024,Argos,B,37.3992,-122.5873,2697,6440,1129,87,NA,NA,NA,NA,NA,NA,-122.5873,37.3992
254030,254030,UT,19:22:26 13-Apr-2024,Argos,B,37.3417,-122.6644,11765,23107,5990,88,NA,NA,NA,NA,NA,NA,-122.6644,37.3417
254030,254030,UT,19:22:59 13-Apr-2024,Argos,0,37.3338,-122.6448,2085,18900,230,109,NA,NA,NA,NA,NA,NA,-122.6448,37.3338
254030,254030,UT,20:55:24 13-Apr-2024,Argos,A,37.3439,-122.649,816,4275,155,113,NA,NA,NA,NA,NA,NA,-122.649,37.3439
254030,254030,UT,21:04:11 13-Apr-2024,Argos,B,37.3419,-122.6514,654,899,474,99,NA,NA,NA,NA,NA,NA,-122.6514,37.3419
254030,254030,UT,00:22:00 14-Apr-2024,Argos,B,37.3141,-122.6994,1877,3037,1159,96,NA,NA,NA,NA,NA,NA,-122.6994,37.3141
254030,254030,UT,02:03:04 14-Apr-2024,Argos,B,37.3082,-122.7097,3070,6796,1387,69,NA,NA,NA,NA,NA,NA,-122.7097,37.3082
254030,254030,UT,05:06:16 14-Apr-2024,Argos,B,37.3317,-122.6423,1968,29370,131,146,NA,NA,NA,NA,NA,NA,-122.6423,37.3317
254030,254030,UT,05:21:19 14-Apr-2024,Argos,B,37.333,-122.6431,2045,9026,463,145,NA,NA,NA,NA,NA,NA,-122.6431,37.333
254030,254030,UT,05:38:36 14-Apr-2024,Argos,B,37.3469,-122.6255,1956,47993,79,144,NA,NA,NA,NA,NA,NA,-122.6255,37.3469
254030,254030,UT,06:47:45 14-Apr-2024,Argos,B,37.334,-122.6267,791,13944,44,70,NA,NA,NA,NA,NA,NA,-122.6267,37.334
254030,254030,UT,13:40:46 14-Apr-2024,Argos,B,37.2729,-122.6392,2553,3884,1677,57,NA,NA,NA,NA,NA,NA,-122.6392,37.2729
254030,254030,UT,14:12:44 14-Apr-2024,Argos,B,37.2936,-122.621,2442,8445,705,71,NA,NA,NA,NA,NA,NA,-122.621,37.2936
254030,254030,UT,15:35:39 14-Apr-2024,Argos,B,37.2813,-122.6123,1947,61815,61,63,NA,NA,NA,NA,NA,NA,-122.6123,37.2813
254030,254030,UT,16:04:00 14-Apr-2024,Argos,B,37.2874,-122.5913,1538,4835,489,61,NA,NA,NA,NA,NA,NA,-122.5913,37.2874
254030,254030,UT,17:11:56 14-Apr-2024,Argos,A,37.2668,-122.6082,601,3829,94,55,NA,NA,NA,NA,NA,NA,-122.6082,37.2668
