DeployID,Ptt,DepthSensor,Instr,SW,RTC,Received,Time Offset,LocationQuality,Latitude,Longitude,Type,HauledOut,BrokenThermistor,BrokenLink,Transmits,BattVoltage,TransmitVoltage,TransmitCurrent,Temperature,Depth,MaxDepth,ZeroDepthOffset,LightLevel,NoDawnDusk,ReleaseType,ReleaseTime,InitiallyBroken,BurnMinutes,ReleaseDepth,FastGPSPower,TWICPower,PowerLimit,WetDry,MinWetDry,MaxWetDry,WetDryThreshold,StatusWord,TransmitPower,Resets,PreReleaseTilt,PreReleaseTiltSd,PreReleaseTiltCount,XmitQueue,FastGPSLocNumber,FastGPSFailures,BattDiscon,Tilt,S11,ReleaseWetDry,ReleaseTemperature,MaxDepth,LLRangeToday,DeployStart,FirstPostReleaseTX,upright,SWBuild
254030,254030,0.500000,UT,,,19:02:20 11-Apr-2024,,1,37.0926,-122.4365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,17:00:00 09-Apr-2024,,,7311
254030,254030,0.500000,UT,,,19:05:05 11-Apr-2024,,1,37.0926,-122.4365,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,17:00:00 09-Apr-2024,,,
254030,254030,0.500000,UT,,,20:49:58 11-Apr-2024,,B,37.1184,-122.4789,,,,,,3.400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,17:00:00 09-Apr-2024,,,
254030,254030,0.500000,UT,1.00b,,20:53:29 11-Apr-2024,,B,37.1184,-122.4789,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,17:00:00 09-Apr-2024,,,
254030,254030,0.500000,UT,,,01:46:24 12-Apr-2024,,B,37.1813,-122.5258,,,,,,3.425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,17:00:00 09-Apr-2024,,,
254030,254030,0.500000,UT,1.00b,,02:15:39 12-Apr-2024,,B,37.2290,-122.5781,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,17:00:00 09-Apr-2024,,,
254030,254030,0.500000,UT,,,02:17:22 12-Apr-2024,,B,37.2290,-122.5781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,17:00:00 09-Apr-2024,,,7311
254030,254030,0.500000,UT,,,04:06:55 12-Apr-2024,,B,37.2723,-122.5991,,,,,1611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,17:00:00 09-Apr-2024,,,
254030,254030,0.500000,UT,,,04:10:14 12-Apr-2024,,B,37.2723,-122.5991,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,17:00:00 09-Apr-2024,,,
254030,254030,0.500000,UT,,,05:29:01 12-Apr-2024,,B,37.3164,-122.5768,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,17:00:00 09-Apr-2024,,,
