DeployID,Ptt,Instr,Date,Duplicates,Satellite,LocationQuality,Latitude,Longitude,Reason,Possible Timestamp,Possible Type,Byte 0,Byte 1,Byte 2,Byte 3,Byte 4,Byte 5,Byte 6,Byte 7,Byte 8,Byte 9,Byte 10,Byte 11,Byte 12,Byte 13,Byte 14,Byte 15,Byte 16,Byte 17,Byte 18,Byte 19,Byte 20,Byte 21,Byte 22,Byte 23,Byte 24,Byte 25,Byte 26,Byte 27,Byte 28,Byte 29,Byte 30,Byte 31
254030,254030,UT,01:51:16 02-May-2024,,,A,36.8880,-122.6369,CRC 8.103,01:58:23 02-May-2024,Status,65,16,165,253,232,151,129,19,17,7,165,215,83,107,42,210,65,7,23,144,0,23,255,,,,,,,,,
254030,254030,UT,03:58:59 02-May-2024,,,B,36.8681,-122.6318,CRC 3.11,03:58:59 02-May-2024,Status,19,143,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254030,254030,UT,04:27:48 02-May-2024,,,A,36.8177,-122.6597,CRC 13.1,04:27:48 02-May-2024,Status,77,62,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254030,254030,UT,05:02:30 02-May-2024,,,1,36.8164,-122.7326,CRC 4.14,,,4,153,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254030,254030,UT,13:03:55 02-May-2024,,,B,36.7598,-122.7072,CRC 32.111,13:03:55 02-May-2024,Status,68,15,37,215,169,203,44,48,97,185,184,87,198,101,205,211,207,128,7,204,247,62,28,,,,,,,,,
254030,254030,UT,14:24:54 02-May-2024,,,0,36.7659,-122.7405,CRC 15.10,,,15,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254030,254030,UT,03:32:19 03-May-2024,,,B,36.8713,-122.8118,CRC 12.6,,,156,171,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254030,254030,UT,05:46:26 03-May-2024,,,B,36.8606,-122.8659,CRC 11.8,05:46:26 03-May-2024,Status,11,59,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254030,254030,UT,07:40:38 04-May-2024,,,B,36.9944,-122.7623,CRC 11.13,07:40:38 04-May-2024,Status,27,143,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254030,254030,UT,05:40:27 05-May-2024,,,B,36.9160,-122.8742,CRC 9.11,05:40:27 05-May-2024,Status,9,143,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
