DeployID,Ptt,Instr,RecordType,MsgCount,Duplicates,Corrupt,AvgInterval,MinInterval,Date,Satellite,LocationQuality,Latitude,Longitude,Latitude2,Longitude2,IQ,Duration,Frequency,Power
254025,254025,UT,DS,1,0,0,,,07:05:30 11-Apr-2024,O3,B,36.6742,-122.3792,36.6742,-122.3792,8,,401677687,-140
254025,254025,UT,DS,2,0,0,122,122,07:25:34 11-Apr-2024,NN,B,36.6693,-122.3789,36.6693,-122.3789,6,,401677691,-133
254025,254025,UT,DS,1,0,0,,,12:28:51 11-Apr-2024,SR,B,36.6656,-122.3753,36.6656,-122.3753,8,,401677688,-131
254025,254025,UT,DS,1,0,1,,,12:52:14 11-Apr-2024,CS,B,36.6255,-122.4416,36.6255,-122.4416,6,,401677682,-140
254025,254025,UT,DS,3,0,0,183,53,14:02:37 11-Apr-2024,SR,A,36.7136,-122.2251,36.7136,-122.2251,8,,401677686,-132
254025,254025,UT,DS,3,0,0,97,93,14:31:34 11-Apr-2024,CS,A,36.7196,-122.1919,36.7196,-122.1919,6,,401677684,-136
254025,254025,UT,DS,2,0,0,283,283,17:20:15 11-Apr-2024,MC,B,36.7666,-122.0925,36.7666,-122.0925,8,,401677704,-127
254025,254025,UT,DS,1,0,0,,,18:10:55 11-Apr-2024,MB,B,36.7770,-122.0572,36.7770,-122.0572,8,,401677711,-133
254025,254025,UT,DS,1,0,0,,,18:10:55 11-Apr-2024,NN,B,36.7716,-122.0797,36.7716,-122.0797,,,401677716,-133
254025,254025,UT,DS,2,0,0,127,127,18:23:14 11-Apr-2024,NP,B,36.7490,-122.1658,36.7490,-122.1658,6,,401677731,-124
254025,254025,UT,DS,1,0,0,,,18:59:32 11-Apr-2024,MC,B,36.7570,-122.1411,36.7570,-122.1411,8,,401677712,-122
254025,254025,UT,DS,2,0,0,49,49,00:06:06 12-Apr-2024,CS,B,36.6796,-122.0615,36.6796,-122.0615,8,,401677677,-129
254025,254025,UT,DS,1,0,1,,,00:38:45 12-Apr-2024,SR,B,36.6671,-122.0463,36.6671,-122.0463,5,,401677693,-134
254025,254025,UT,DS,1,0,0,,,01:40:29 12-Apr-2024,CS,B,36.6530,-122.0169,36.6530,-122.0169,8,,401677695,-136
254025,254025,UT,DS,3,0,0,303,257,02:13:53 12-Apr-2024,SR,A,36.6963,-122.0300,36.6963,-122.0300,,,401677693,-131
254025,254025,UT,DS,1,0,0,,,02:13:53 12-Apr-2024,A1,B,36.6462,-122.0029,36.6462,-122.0029,8,,401677689,-133
254025,254025,UT,DS,2,0,0,32,32,02:27:28 12-Apr-2024,NK,B,36.6919,-121.9932,36.6919,-121.9932,6,,401677695,-129
254025,254025,UT,DS,3,0,0,99,93,04:09:25 12-Apr-2024,NP,A,36.6791,-121.9348,36.6791,-121.9348,8,,401677703,-130
254025,254025,UT,DS,2,0,0,57,57,04:10:33 12-Apr-2024,NK,B,36.6796,-121.9215,36.6796,-121.9215,6,,401677696,-125
254025,254025,UT,DS,3,0,0,30,30,04:36:06 12-Apr-2024,MC,A,36.6693,-121.9395,36.6693,-121.9395,6,,401677690,-124
254025,254025,UT,DS,1,0,0,,,05:43:32 12-Apr-2024,NP,B,36.6787,-121.9004,36.6787,-121.9004,7,,401677705,-139
254025,254025,UT,DS,1,0,0,,,06:17:32 12-Apr-2024,MC,B,36.6816,-121.8968,36.6816,-121.8968,8,,401677709,-120
254025,254025,UT,DS,5,0,1,139,53,07:10:50 12-Apr-2024,NN,2,36.6414,-122.0452,36.6414,-122.0452,58,,401677694,-127
254025,254025,UT,DS,2,0,0,225,225,08:02:06 12-Apr-2024,O3,B,36.6293,-122.0724,36.6293,-122.0724,8,,401677693,-128
254025,254025,UT,DS,2,0,0,78,78,13:36:33 12-Apr-2024,SR,B,36.5980,-122.2546,36.5980,-122.2546,8,,401677641,-129
254025,254025,UT,DS,1,0,0,,,13:51:39 12-Apr-2024,CS,B,36.5987,-122.2503,36.5987,-122.2503,6,,401677645,-134
254025,254025,UT,DS,1,0,0,,,19:38:30 12-Apr-2024,NN,B,36.5508,-122.5091,36.5508,-122.5091,8,,401677619,-131
254025,254025,UT,DS,1,0,0,,,04:20:59 13-Apr-2024,MC,B,36.4969,-122.8577,36.4969,-122.8577,8,,401677626,-127
254025,254025,UT,DS,3,0,1,82,78,06:00:31 13-Apr-2024,MC,A,36.6866,-122.5360,36.6866,-122.5360,8,,401677630,-130
254025,254025,UT,DS,1,0,0,,,07:13:04 13-Apr-2024,O3,B,36.6965,-122.5072,36.6965,-122.5072,8,,401677595,-134
254025,254025,UT,DS,1,0,0,,,13:14:52 13-Apr-2024,CS,B,36.7750,-122.3926,36.7750,-122.3926,8,,401677618,-129
254025,254025,UT,DS,3,0,0,178,45,00:22:13 14-Apr-2024,CS,A,36.4775,-122.2447,36.4775,-122.2447,8,,401677655,-134
254025,254025,UT,DS,1,0,0,,,01:16:59 14-Apr-2024,SR,B,36.4796,-122.2259,36.4796,-122.2259,8,,401677663,-133
254025,254025,UT,DS,1,0,0,,,02:07:30 14-Apr-2024,CS,B,36.4747,-122.2232,36.4747,-122.2232,8,,401677645,-136
254025,254025,UT,DS,2,0,0,171,171,02:53:23 14-Apr-2024,SR,B,36.4635,-122.2430,36.4635,-122.2430,6,,401677670,-127
