"id","date","lc","lon","lat"
"254025",2024-04-14 06:27:06,"B",-122.2493,36.4261
"254025",2024-04-14 06:27:06,"B",-122.2493,36.4261
"254025",2024-04-14 06:46:51,"B",-122.2592,36.4092
"254025",2024-04-14 06:46:51,"B",-122.2592,36.4092
"254025",2024-04-14 08:04:56,"2",-122.3039,36.3067
"254025",2024-04-14 08:04:56,"2",-122.3039,36.3067
"254025",2024-04-14 08:04:56,"2",-122.3039,36.3067
"254025",2024-04-14 08:04:56,"2",-122.3039,36.3067
"254025",2024-04-14 12:35:29,"B",-122.2625,36.1361
"254025",2024-04-14 13:38:11,"B",-122.254,36.115
"254025",2024-04-14 15:37:58,"A",-122.136,36.0839
"254025",2024-04-14 15:37:58,"A",-122.136,36.0839
"254025",2024-04-14 15:37:58,"A",-122.136,36.0839
